,cr,num_orders
0.0,2.957,167
0.1,-10.314498767589155,186
0.2,-20.82027170498126,159
0.30000000000000004,-37.82497944842964,175
0.4,-54.34880331029294,175
0.5,-67.92360552219402,165
0.6000000000000001,-89.95479497951084,173
0.7000000000000001,-123.2299882223937,191
0.8,-155.6840980006934,199
0.9,-170.21167718325978,185
